来源表,IP 地址,请求样本数,1级地区码,2级地区名称,ISP名称
说明,表A是中国大陆IP-0615CF自动抽样20%,表B是全球P-0615CF自动抽样20%,表C是0615抽样百万大陆IP,表D是0615抽样百万全球IP,表E是0614-0615抽样七百万全球IP（全部样本）
说明,表F是0618-0619抽样75万大陆IP（过了国家盾/ASN盾/IP盾）,表G是0618-0619抽样万全球IP（全部样本）,,,
A,106.75.239.219,3.33M,CN,上海,电信/联通/移动/鹏博士
A,101.126.24.12,1.68M,CN,中国,
A,183.206.10.67,1.48M,CN,江苏,移动
A,116.205.227.20,1.09M,CN,广东,联通
A,221.200.218.215,1.07M,CN,辽宁,联通
A,119.96.27.114,1.02M,CN,湖北,电信
A,223.166.145.67,979.13k,CN,上海,联通
A,117.44.247.198,908.01k,CN,江西,电信
A,117.190.42.158,886.74k,CN,新疆,移动
A,117.85.185.79,886.6k,CN,江苏,电信
A,122.190.16.69,783.13k,CN,湖北,联通
A,124.225.183.4,731.64k,CN,海南,电信
A,1.82.106.14,716.67k,CN,陕西,电信
A,101.201.29.12,689.97k,CN,北京,阿里云/电信/联通/移动/教育网
A,134.175.86.41,677.96k,CN,广东,电信/联通/移动
A,106.227.12.125,672.62k,CN,江西,电信
A,111.67.194.66,672.31k,CN,北京,联通
A,111.67.197.170,642.34k,CN,北京,联通
A,113.110.247.25,630.97k,CN,广东,电信
A,113.16.193.120,604.12k,CN,广西,电信
A,171.111.199.185,551.93k,CN,广西,电信
A,103.237.248.3,550.77k,CN,北京,联通/电信
A,117.89.250.64,535.47k,CN,江苏,电信
A,58.56.21.14,514.79k,CN,山东,电信
A,111.173.89.109,496.32k,CN,湖北,电信
A,27.157.156.82,487.81k,CN,福建,电信
A,106.75.227.240,487.19k,CN,上海,电信/联通/移动/鹏博士
A,124.222.117.40,455.13k,CN,上海,电信/联通/移动
A,112.250.208.15,451.73k,CN,山东,联通
A,120.46.130.76,450.28k,CN,北京,联通/电信
A,123.173.69.94,449.34k,CN,吉林,电信
A,121.196.210.140,448.41k,CN,浙江,阿里云/电信/联通/移动/教育网
A,140.207.154.218,447.95k,CN,上海,联通
A,116.62.229.30,438.19k,CN,浙江,阿里云/电信/联通/移动/教育网
A,222.211.106.157,404.64k,CN,四川,电信
A,112.5.33.179,396.06k,CN,福建,移动
A,60.173.153.52,393.4k,CN,安徽,电信
A,119.91.200.57,393.18k,CN,广东,电信/联通/移动
A,110.42.42.64,391.13k,CN,浙江,电信
A,180.184.86.29,384.69k,CN,北京,联通/电信/移动
A,175.178.136.39,384.27k,CN,广东,电信/联通/移动
A,110.88.151.119,380.61k,CN,福建,电信
A,114.236.137.41,378.39k,CN,江苏,电信
A,123.152.10.7,376.09k,CN,浙江,联通
A,103.85.84.249,370.23k,CN,江苏,电信/联通/移动
A,117.133.92.121,359.17k,CN,北京,移动
A,182.118.244.81,342.66k,CN,河南,联通
A,118.250.132.76,334.92k,CN,湖南,电信
A,42.81.157.159,330.94k,CN,天津,电信
A,42.81.157.160,327.5k,CN,天津,电信
A,183.1.76.29,320.48k,CN,广东,电信
A,119.39.5.93,310.19k,CN,湖南,联通
A,114.95.148.23,292.85k,CN,上海,电信
A,112.124.18.204,289.62k,CN,浙江,阿里云/电信/联通/移动/教育网
A,115.231.181.40,277.58k,CN,浙江,电信
A,113.0.219.29,263.26k,CN,黑龙江,联通
A,211.101.239.42,258.94k,CN,内蒙古,电信
A,139.199.222.74,233.9k,CN,广东,电信/联通/移动
A,221.226.19.189,225.58k,CN,江苏,电信
A,112.245.56.40,223.55k,CN,山东,联通
A,111.30.33.74,219.62k,CN,天津,移动
A,117.90.223.3,216.09k,CN,江苏,电信
A,112.226.3.229,201.59k,CN,山东,联通
A,113.227.133.232,191.78k,CN,辽宁,联通
A,115.196.168.199,190.23k,CN,浙江,电信
A,122.51.121.229,189.44k,CN,上海,电信/联通/移动
A,139.224.104.57,162.03k,CN,上海,阿里云/电信/联通/移动/教育网
A,111.34.202.120,161.41k,CN,山东,移动
